"","date","transect","quadrat","s_acutus","s_americanus","s_tabernaemontani","s_californicus","s_maritimus","t_latifolia","t_domingensis","total_measured","total_biomass"
"1",2011-07-01,"m4c",13,267.909648260126,0,2455.75609949319,0,0,0,0,2723.66574775331,11457.714426917
"2",2011-07-01,"m4c",17,0,0,0,0,1664.698376756,0,0,1664.698376756,7002.92927777791
"3",2011-07-01,"m4c",27,0,0,0,0,0,505.33021408,2385.41019556,2890.74040964,12160.5516841871
"4",2011-07-01,"m4c",33,0,0,0,0,0,2097.68324544,181.777112,2279.46035744,9589.064239828
"5",2011-07-01,"m4c",58,3775.77909873967,0,0,0,0,0,0,3775.77909873967,15883.6665946131
"6",2011-07-01,"m4s",9,1360.72388491341,0,428.837711167379,0,0,0,3279.67391616,5069.23551224079,21324.8828017724
"7",2011-07-01,"m4s",16,0,0,0,0,0,882.6716504,1767.15259712,2649.82424752,11147.0834975431
"8",2011-07-01,"m4s",35,85.25814,0,0,0,0,0,3957.42703528,4042.68517528,17006.4672195909
"9",2011-07-01,"m4s",37,0,0,0,0,0,0,1688.268634,1688.268634,7102.08288232483
"10",2011-07-01,"m4s",43,799.074352204621,0,463.552560011095,0,0,0,1519.0932122,2781.72012441572,11701.9332594148
"11",2011-07-07,"c2",5,2869.8112723414,0,1471.07519936766,0,0,1941.8143084,0,6282.70078010907,26429.5982088248
"12",2011-07-07,"c2",16,0,12.124746476,0,0,0,5338.97736156,0,5351.102108036,22510.618226089
"13",2011-07-07,"c2",17,0,180.006340392,0,0,0,2979.82132436,0,3159.827664752,13292.5279289005
"14",2011-07-07,"c2",18,0,239.089287744,0,0,0,2328.86862032,0,2567.957908064,10802.6942715753
"15",2011-07-07,"c2",30,1932.39423414351,344.109351708,0,0,0,2556.887925,0,4833.39151085151,20332.7518035217
"16",2011-07-07,"m3",2,0,0,0,0,0,2050.29420896,0,2050.29420896,8625.02513636378
"17",2011-07-07,"m3",19,1035.74768714591,0,1049.0731095465,0,0,3687.92735288,0,5772.74814957241,24284.3674231589
"18",2011-07-07,"m3",20,0,0,1844.0288517525,0,194.93577126,855.25442012,0,2894.2190431325,12175.185340753
"19",2011-07-07,"m3",23,0,0,3830.29037970527,0,0,1989.53750404,0,5819.82788374527,24482.4189461451
"20",2011-07-07,"m3",28,0,347.489030656,0,0,0,543.90963224,0,891.398662896,3749.86957501037
"21",2011-07-08,"c1",6,717.299090102878,0,0,0,0,1922.58882164,0,2639.88791174288,11105.2840594593
"22",2011-07-08,"c1",8,2290.04740565728,0,115.964445772413,0,0,1824.62128152,0,4230.63313294969,17797.1127045877
"23",2011-07-08,"c1",19,917.868350491113,0,0,0,0,1852.361049,0,2770.22939949111,11653.5949327119
"24",2011-07-08,"c1",28,0,0,0,0,0,2677.68827356,0,2677.68827356,11264.2998092047
"25",2011-07-08,"c1",40,0,0,0,0,0,5409.035967,0,5409.035967,22754.3300736997
"26",2011-07-08,"m1w",11,0,0,6074.74488519423,0,0,314.647961,0,6389.39284619423,26878.4224545421
"27",2011-07-08,"m1w",15,0,399.464132596,0,0,0,0,0,399.464132596,1680.43599287339
"28",2011-07-08,"m1w",18,0,288.5845589,0,0,0,1870.38717888,0,2158.97173778,9082.20167899561
"29",2011-07-08,"m1w",32,0,271.484333988,0,0,0,2915.11518744,0,3186.599521428,13405.1497837389
"30",2011-07-08,"m1w",47,2826.80426391747,0,0,0,0,0,0,2826.80426391747,11891.5898632108
"31",2011-07-08,"m2",12,4667.455973717,0,0,0,0,1697.18245964,0,6364.638433357,26774.2874323468
"32",2011-07-08,"m2",14,0,0,0,0,0,1463.21870484,0,1463.21870484,6155.35958404927
"33",2011-07-08,"m2",28,0,104.246004568,0,0,0,3147.90476524,0,3252.150769808,13680.905898411
"34",2011-07-08,"m2",33,0,319.14933292,0,0,0,1583.16216868,0,1902.3115016,8002.50249295516
"35",2011-07-08,"m2",35,0,313.301263896,0,0,0,64.35166572,0,377.652929616,1588.68224693063
"36",2011-07-14,"m4n",9,1174.05323513243,0,2416.19386118247,438.353873933055,0,1280.53215336,0,5309.13312360795,22334.0662248895
"37",2011-07-14,"m4n",15,112.496689770495,0,2773.51127882492,0,0,1738.6684812,0,4624.67644979541,19454.7448130715
"38",2011-07-14,"m4n",18,0,0,1347.15362236982,0,0,1944.83289412,576.56983136,3868.55634784982,16273.9550235423
"39",2011-07-14,"m4n",26,303.728556957381,0,1416.03433953731,0,0,2760.48113892,366.11003944,4846.35407485469,20387.2817533555
"40",2011-07-14,"m4n",27,0,0,1388.36284238457,0,0,3750.50241004,0,5138.86525242457,21617.7960123249
