"","month","year","s_acutus","s_americanus","s_tabernaemontani","s_californicus","s_maritimus","t_latifolia","t_domingensis"
"1",7,2011,0.122703474378892,0.0943419117249405,0.15081615079899,0.00945785252755673,0.0213470699235606,0.482517975219279,0.118815565426782
"2",9,2011,0.218287045350841,0.149864010301133,0.126431807963616,0.0585198904735448,0,0.364846070177204,0.0820511757336627
"3",11,2011,0,0.110653299975284,0.363509391321892,0.0935552362294286,0,0.324403533563917,0.0749115059424448
"4",1,2012,0.122708190873635,0.128706808681684,0.174895385612946,0.0823100376928333,0,0.371379577138902,0
"5",3,2012,0.211548566769655,0.0610895477980358,0.051067585566208,0.105980006171765,0,0.435046293798351,0.135267999895986
"6",5,2012,0.142529366073417,0.0822395865621472,0.0811746050199012,0.0999102938188947,0,0.44393059097764,0.150215557548
"7",7,2012,0.0856238304645221,0.079834896429001,0.150796432314153,0.0606049688247112,0.00160716580970214,0.34786885768583,0.173663848472081
"8",9,2012,0.0434935056038807,0.142822992384876,0.161608171051426,0.0272577884326714,0,0.464072052967163,0.160745489559983
"9",11,2012,0.0694393628908634,0.123878272911705,0.124243550273061,0.0437144151522737,0,0.539629106676372,0.0990952920957251
"10",1,2013,0.12977877183182,0.044658424570703,0.00941963400919453,0.121292480761052,0,0.405961799938342,0
"11",3,2013,0.155752419938849,0.00830252917850576,0,0.0844216595305492,0,0.359664911246571,0.289817663778994
"12",7,2013,0.177900186841879,0.029615084412631,0,0.052688209185991,0,0.593086826318252,0.107494006966736
"13",9,2013,0.129127946763056,0.0125518338369379,0,0.0504256657987147,0,0.366965076869432,0.303674574771075
"14",11,2013,0.167162899436405,0.0019811333249392,0,0.0453835443565899,0,0.606870525664324,0.118601897217742
"15",1,2014,0.156088536203159,0,0,0.110087984310259,0,0.446334064770616,0.00748941471596579
"16",3,2014,0.0342438645019472,0,0,0.0893502539391176,0,0.811689803251681,0.000886291073211876
"17",5,2014,0.148647024748652,0,0,0.169727452580262,0,0.476240667116387,0.185384855554699
"18",7,2014,0.190449645949899,0,0,0,0,0.620133769217131,0.148600258302358
"19",9,2014,0.179922438172263,0,0,0.0198893700970845,0,0.589876863086611,0.108270512317511
"20",11,2014,0.120234057464984,0,0,0.0334293938884171,0,0.6595348324896,0.0691546573334696
"21",1,2015,0.0676555525188067,0,0,0.210965400097069,0,0.479409943586977,0.00196910379714668
"22",3,2015,0.111927460448229,0,0,0.0941426885095895,0,0.71352558024215,0.0191797810041126
"23",5,2015,0.0426938481954939,0,0,0.143487818247751,0,0.679480552697465,0.0232266697481795
"24",7,2015,0.0723497947482153,0,0,0.04,0,0.717347731333021,0.170302473918764
"25",9,2015,0.104625335640461,0,0,0.0713035236015903,0,0.634770013095418,0.0716540688390016
"26",11,2015,0.115808474059384,0,0,0.123526166855346,0,0.710783013338387,0.0271550730196094
"27",1,2016,0.103294132637444,0,0,0.101082985407778,0,0.575622881954778,0
"28",3,2016,0.115762967705787,0,0,0.0735922688598438,0,0.670644763434369,0
"29",5,2016,0.118278355886612,0,0,0.112117133079572,0,0.566810582625836,0.14279392840798
"30",7,2016,0.0318852574546241,0,0,0.0898974739181252,0,0.417794945141025,0.440422323486225
"31",9,2016,0.053641460497868,0,0,0.0500483958427475,0,0.452499391993597,0.323810751665788
"32",11,2016,0.0797234137788468,0,0,0.0861436921120047,0,0.443549139405437,0.270583754703712
"33",1,2017,0,0,0,0.0207808343882493,0,0.599219165611751,0.12
"34",3,2017,0.0558569081225189,0,0,0.167584679307499,0,0.531275393702058,0
"35",5,2017,0.0771010899134227,0,0,0.0746345362162617,0,0.297526130435093,0.384071576768556
"36",7,2017,0.0379363872926515,0,0,0.100608967645533,0,0.534453869444194,0.269308467925313
"37",9,2017,0.0622059255647392,0,0,0.0642681814723496,0,0.529223752632924,0.325434215801686
"38",11,2017,0.0805812769229148,0,0,0,0,0.622668055512011,0.0518527083814006
"39",1,2018,0.0154378208572457,0,0,0.0467081392170726,0,0.537854039925682,0
"40",3,2018,0.0155516320292478,0,0,0.0640198058952293,0,0.792219408107746,0.0351858981538239
"41",5,2018,0,0,0,0.0889786480231493,0,0.27807772661855,0.580312046410932
"42",7,2018,0.140755067717025,0,0,0.0252474119174577,0,0.138695353797716,0.49122053391474
"43",9,2018,0,0,0,0.111111111111111,0,0.254134489308211,0.0791988440251227
