"","month","year","monthly_stem_volume_cm3"
"1",7,2011,1776455.34602812
"2",9,2011,865142.720592338
"3",11,2011,1200121.4376662
"4",1,2012,632461.912825243
"5",3,2012,533473.636763366
"6",5,2012,639664.495524127
"7",7,2012,1381536.68661275
"8",9,2012,984668.780234578
"9",11,2012,428355.144271568
"10",1,2013,361379.364390651
"11",3,2013,97320.403763884
"12",7,2013,624254.167117438
"13",9,2013,761795.467393064
"14",11,2013,595452.058316009
"15",1,2014,344458.265711551
"16",3,2014,105505.146037889
"17",5,2014,422586.346685178
"18",7,2014,502936.354606927
"19",9,2014,566344.16437305
"20",11,2014,231835.435319444
"21",1,2015,967270.424400803
"22",3,2015,281942.629090157
"23",5,2015,93802.2149511904
"24",7,2015,788688.502642052
"25",9,2015,525631.136315767
"26",11,2015,727783.981273048
"27",1,2016,356388.880484692
"28",3,2016,341696.468198508
"29",5,2016,1812650.28347659
"30",7,2016,1390175.53503111
"31",9,2016,737110.871480022
"32",11,2016,1140704.86595447
"33",1,2017,20056.139658793
"34",3,2017,364862.25246106
"35",5,2017,202135.895244177
"36",7,2017,888441.435433643
"37",9,2017,393753.049019572
"38",11,2017,187794.462635513
"39",1,2018,54292.3997850598
"40",3,2018,143058.875501588
"41",5,2018,96411.9549122124
"42",7,2018,523408.261759035
"43",9,2018,30189.8227293972
